Name,Year,GroupNum,Status,Birth_Date,Birth_Place,Gender,Alma_Mater,Undergraduate_Major,Graduate_Major,Military_Rank,Military_Branch,Space_Flights,Space_Flight_hr,Space_Walks,Space_Walks_hr,Missions,Death_Date,Death_Mission
Mark N. Brown,1984,10,Retired,1951-11-18,"Valparaiso, IN",Male,Purdue University; Air Force Institute of Technology,Aeronautical & Astronautical Engineering,Astronautical Engineering,Colonel,US Air Force (Retired),2,249,0,0.0,"STS 28 (Columbia), STS-48 (Discovery)",,
Mark T. Vande Hei,2009,20,Active,1966-11-10,"Falls Church, VA",Male,Saint John’s University; Stanford University,Physics,Applied Physics,Colonel,US Army,0,0,0,0.0,"STS 28 (Columbia), STS-48 (Discovery)",,
Marsha S. Ivins,1984,10,Retired,1951-04-15,"Baltimore, MD",Female,University of Colorado,Aerospace Engineering,Applied Physics,Colonel,US Army,5,1341,0,0.0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)",,
Martin J. Fettman,1984,10,Retired,1956-12-31,"Brooklyn, NY",Male,Cornell University; Colorado State University,Animal Nutrition,Physiology,Colonel,US Army,1,336,0,0.0,STS-58 (Columbia),,
Mary E. Weber,1992,14,Retired,1962-08-24,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,Colonel,US Army,2,450,0,0.0,"STS-70 (Discovery), STS-101 (Atlantis)",,
Mary L. Cleave,1980,9,Retired,1947-02-05,"Southampton, NY",Female,Colorado State University; Utah State University,Biological Science,Microbial Ecology; Environmental Engineering,Colonel,US Army,2,262,0,0.0,"STS 61-B (Atlantis), STS-30 (Atlantis)",,
Michael A. Baker,1985,11,Management,1953-10-27,"Memphis, TN",Male,University of Texas,Aerospace Engineering,Microbial Ecology; Environmental Engineering,Captain,US Navy (Retired),4,965,0,0.0,"STS-43 (Atlantis), STS-52 (Columbia), STS-68 (Endeavor), STS-81 (Atlantis)",,
Michael Collins,1963,3,Retired,1930-10-31,"Rome, Italy",Male,US Military Academy,Aerospace Engineering,Microbial Ecology; Environmental Engineering,Captain,US Air Force Reserves,2,266,1,1.0,"Gemini 10, Apollo 11",,
Michael E. Fossum,1998,17,Active,1957-12-19,"Sioux Falls, SD",Male,Texas A&M University; Air Force Institute of Technology; University of Houston-Clear Lake,Mechanical Engineering,Systems Engineering; Physical Science (Space Science),Captain,US Air Force Reserves (Retired),3,4651,7,48.0,"STS-121 (Discovery), STS-124 (Discovery), ISS-28/29 (Soyuz)",,
Michael E. Lopez-Alegria,1992,14,Retired,1958-05-30,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67.0,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",,
Michael J. Bloomfield,1995,15,Retired,1959-03-16,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0.0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
Michael J. Foreman,1998,17,Management,1957-03-29,"Columbus, OH",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,637,5,32.0,"STS-123 (Endeavor), STS-129 (Atlantis)",,
Michael J. Massimino,1996,16,Management,1962-08-19,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,Captain,US Navy (Retired),2,571,4,30.0,"STS-109 (Columbia), STS-125 (Atlantis)",,
Michael J. McCulley,1984,10,Retired,1943-08-04,"San Diego, CA",Male,Purdue University,Metallurgical Engineering,Metallurgical Engineering,Captain,US Navy (Retired),1,119,0,0.0,STS-34 (Atlantis),,
Michael J. Smith,1980,9,Deceased,1945-04-30,"Beaufort, NC",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Aeronautical Engineering,Captain,US Navy,1,0,0,0.0,STS 51-L (Challenger),1986-01-28,STS 51-L (Challenger)
Michael L. Coats,1978,8,Retired,1946-01-16,"Sacramento, CA",Male,US Naval Academy; George Washington University; US Naval Postgraduate School,Naval Sciences,Science & Technology Administration; Aeronautical Engineering,Captain,US Navy (Retired),3,463,0,0.0,"STS 41-D (Discovery), STS-29 (Discovery), STS-39 (Discovery)",,
Michael L. Gernhardt,1992,14,Management,1956-05-04,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,Captain,US Navy (Retired),4,1039,4,23.0,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
Michael P. Anderson,1995,15,Deceased,1959-12-25,"Plattsburgh, NY",Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0.0,"STS-89 (Endeavor), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
Michael R. Barratt,2000,18,Active,1959-04-16,"Vancouver, WA",Male,University of Washington; Northwestern University; Wright State University,Zoology,Medicine; Aerospace Medicine,Lieutenant Colonel,US Air Force,2,5075,1,5.0,"ISS-19/20 (Soyuz), STS-133 (Discovery)",,
Michael R. Clifford,1990,13,Retired,1952-10-13,"San Bernardino, CA",Male,US Military Academy; Georgia Institute of Technology,Zoology,Aerospace Engineering,Lieutenant Colonel,US Army (Retired),3,666,1,6.0,"STS-53 (Discovery), STS-59 (Endeavor), STS-76 (Atlantis)",,
Michael S. Hopkins,2009,20,Active,1968-12-28,"Lebanon, MO",Male,University of Illinois; Stanford University,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force,1,3990,2,13.0,ISS-37/38 (Soyuz),,
Michael T. Good,2000,18,Management,1962-10-13,"Parma, OH",Male,University of Notre Dame,Aerospace Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,592,4,30.0,"STS-125 (Atlantis), STS-132 (Atlantis)",,
Millie Hughes-Fulford,2000,18,Retired,1945-12-21,"Mineral Wells, TX",Female,Tarleton State University; Texas Woman’s University,Chemistry & Biology,Aerospace Engineering,Colonel,US Air Force (Retired),1,218,0,0.0,STS-40 (Columbia),,
N. Jan Davis,1987,12,Retired,1953-11-01,"Cocoa Beach, FL",Female,Georgia Institute of Technology; Auburn University; University of Alabama-Huntsville,Applied Biology; Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),3,673,0,0.0,"STS-47 (Endeavor), STS-60 (Discovery), STS-85 (Discovery)",,
Nancy J. Currie,1990,13,Management,1958-12-29,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0.0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
Neil A. Armstrong,1962,2,Deceased,1930-08-05,"Wapakoneta, OH",Male,Purdue University; University of Southern California,Aeronautical Engineering,Aerospace Engineering,Colonel,US Army (Retired),2,205,1,2.0,"Gemini 8, Apollo 11",2012-08-25,Complications from cardiac surgery
Neil W. Woodward III,1998,17,Retired,1962-07-26,"Chicago, IL",Male,MIT; University of Texas-Austin; George Washington University,Physics,Physics; Business Management,Commander,US Navy,0,0,0,0.0,"Gemini 8, Apollo 11",,
Niclolas J. M. Patrick,1998,17,Retired,1964-03-22,"North Yorkshire, England",Male,University of Cambridge; MIT,Engineering,Engineering; Mechanical Engineering,Commander,US Navy,2,638,3,18.0,"STS-116 (Discovery), STS-130 (Endeavor)",,
Nicole P. Stott,2000,18,Active,1962-11-19,"Albany, NY",Female,Embry-Riddle Aeronautical University; University of Central Florida,Aeronautical Engineering,Engineering Management,Commander,US Navy,2,2477,1,6.0,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)",,
Norman E. Thagard,1978,8,Retired,1943-07-03,"Marianna, FL",Male,Florida State University; University of Texas,Engineering Science,Engineering Science; Medicine,Commander,US Navy,5,3373,0,0.0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)",,
Owen K. Garriott,1965,4,Retired,1930-11-22,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,Commander,US Navy,2,1674,3,14.0,"Skylab 3, STS-9 (Columbia)",,
Pamela A. Melroy,1995,15,Retired,1961-09-17,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0.0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
Patrick G. Forrester,1996,16,Management,1957-03-31,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25.0,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
Paul D. Scully-Power,1996,16,Retired,1944-05-28,"Sydney, Australia",Male,University of Sydney,Applied Mathematics,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),1,197,0,0.0,STS 41-G (Challenger),,
Paul J. Weitz,1966,5,Retired,1932-06-25,"Erie, PA",Male,Pennsylvania State University; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,793,1,2.0,"Skylab 2, STS-6 (Challenger)",,
Paul S. Lockhart,1996,16,Retired,1956-04-28,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0.0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
Paul W. Richards,1996,16,Management,1964-05-20,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),1,307,1,6.0,STS-102 (Discovery),,
Peggy A. Whitson,1996,16,Active,1960-02-09,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,Colonel,US Air Force (Retired),3,11698,7,46.0,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
Peter J. K. Wisoff,1990,13,Retired,1958-08-16,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,Colonel,US Air Force (Retired),4,1064,3,20.0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
Philip K. Chapman,1967,6,Retired,1935-03-05,"Melbourne, Australia",Male,University of Sydney; MIT,Physics & Mathematics,Aeronautics & Astronautics; Instrumentation,Colonel,US Air Force (Retired),0,0,0,0.0,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
Pierre J. Thuot,1985,11,Retired,1955-05-19,"Groton, CT",Male,US Naval Academy; University of Southern California,Physics,Systems Management,Commander,US Navy,3,654,3,17.0,"STS-36 (Atlantis), STS-49 (Endeavor), STS-62 (Columbia)",,
Piers J. Sellers,1996,16,Management,1955-04-11,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,Commander,US Navy,3,839,6,41.0,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",,
Randolph J. Bresnik,2004,19,Active,1967-09-11,"Fort Knox, KY",Male,The Citadel; University of Tennessee-Knoxville,Mathematics,Aviation Systems,Colonel,US Marine Corps,1,259,2,12.0,STS-129 (Atlantis),,
Rex J. Walheim,1996,16,Active,1962-10-10,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36.0,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
Richard A. Mastracchio,1996,16,Active,1960-02-11,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,Colonel,US Air Force (Retired),4,5461,9,53.0,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,
Richard A. Searfoss,1990,13,Retired,1956-06-05,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0.0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",,
Richard F. Gordon Jr.,1963,3,Retired,1929-10-05,"Seattle, WA",Male,University of Washington,Chemistry,Aeronautics,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",,
Richard H. Truly,1969,7,Retired,1937-11-12,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,Aeronautics,Vice Admiral,US Navy (Retired),2,199,0,0.0,"STS-2 (Columbia), STS-8 (Challenger)",,
Richard J. Hieb,1985,11,Retired,1955-09-21,"Jamestown, ND",Male,Northwest Nazarene College; University of Colorado,Mathematics & Physics,Aerospace Engineering,Vice Admiral,US Navy (Retired),3,766,3,18.0,"STS-39 (Discovery), STS-49 (Endeavor), STS-65 (Columbia)",,
Richard M. Linnehan,1992,14,Management,1957-09-19,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,Vice Admiral,US Navy (Retired),4,1427,6,43.0,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,
Richard M. Mullane,1978,8,Retired,1945-09-10,"Wichita Falls, TX",Male,US Military Academy; US Air Force Institute of Technology,Military Engineering,Aeronautical Engineering,Colonel,US Air Force (Retired),3,356,0,0.0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)",,
Richard N. Richards,1980,9,Retired,1946-08-24,"Key West, FL",Male,University of Missouri; University of West Florida,Chemical Engineering,Aeronautical Systems,Captain,US Navy (Retired),4,813,0,0.0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)",,
Richard O. Covey,1978,8,Retired,1946-08-01,"Fayetteville, AR",Male,US Air Force Academy; Purdue University,Engineering Science,Aeronautics & Astronautics,Colonel,US Air Force (Retired),4,645,0,0.0,"STS 51-l (Discovery), STS-26 (Discovery), STS-38 (Atlantis), STS-61 (Endeavor)",,
Richard R. Arnold II,2004,19,Active,1963-11-26,"Cheverly, MD",Male,Frostburg State University; University of Maryland,Accounting,Environmental Science,Colonel,US Air Force (Retired),1,307,2,12.0,STS-119 (Discovery),,
Rick D. Husband,1995,15,Deceased,1957-07-12,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0.0,"STS-96 (Discovery), STS-107 (Columbia)",2003-02-01,STS-107 (Columbia)
Robert A. Parker,1967,6,Retired,1936-12-14,"New York, NY",Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,Colonel,US Air Force,2,462,0,0.0,"STS-9 (Columbia), STS-35 (Columbia)",,
Robert C. Springer,1980,9,Retired,1942-05-21,"St. Louis, MO",Male,US Naval Academy; US Naval Postgraduate School,Naval Sciences,Operations Research,Colonel,US Marine Corps (Retired),2,237,0,0.0,"STS-29 (Discovery), STS-38 (Atlantis)",,
Robert Cenker,1980,9,Retired,1948-11-05,"Uniontown, PA",Male,Pennsylvania State University; Rutgers University,Aerospace Engineering,Aerospace Engineering; Electrical Engineering,Colonel,US Marine Corps (Retired),1,146,0,0.0,STS 61-C (Columbia),,
Robert D. Cabana,1985,11,Management,1949-01-23,"Minneapolis, MN",Male,US Naval Academy,Mathematics,Aerospace Engineering; Electrical Engineering,Colonel,US Marine Corps (Retired),4,910,0,0.0,"STS-41 (Discovery), STS-53 (Discovery), STS-65 (Columbia), STS-88 (Endeavor)",,
Robert F. Overmyer,1969,7,Deceased,1936-07-14,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Colonel,US Marine Corps (Retired),2,290,0,0.0,"STS-5 (Columbia), STS 51-B (Challenger)",1996-03-22,Natural causes
Robert L. Behnken,2000,18,Active,1970-07-28,"Creve Couer, MO",Male,Washington University; California Institute of Technology,Physics & Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,708,6,37.0,"STS-123 (Endeavor), STS-130 (Endeavor)",,
Robert L. Crippen,1969,7,Retired,1937-09-11,"Beaumont, TX",Male,University of Texas,Aerospace Engineering,Mechanical Engineering,Captain,US Navy (Retired),4,565,0,0.0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
Robert L. Curbeam Jr.,1995,15,Retired,1962-03-05,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45.0,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
Robert L. Gibson,1978,8,Retired,1946-10-30,"Cooperstown, NY",Male,California Polytechnic Institute,Aeronautical Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),5,868,0,0.0,"STS 41-B (Challenger), STS 61-C (Columbia), STS-27 (Atlantis), STS-47 (Endeavor), STS-71 (Atlantis)",,
Robert L. Satcher Jr.,2004,19,Retired,1965-09-22,"Hampton, VA",Male,MIT; Harvard University,Chemical Engineering,Chemical Engineering; Medicine,Captain,US Navy (Retired),1,259,2,12.0,STS-129 (Atlantis),,
Robert L. Stewart,1978,8,Retired,1942-08-13,"Washington, DC",Male,University of Southern Mississippi; University of Texas-Arlington,Mathematics,Aerospace Engineering,Brigadier General,US Army (Retired),2,289,2,12.0,"STS 41-B (Challenger), STS 51-J (Atlantis)",,
Robert Shane Kimbrough,2004,19,Active,1967-06-04,"Killeen, TX",Male,US Military Academy; Georgia Institute of Technology,Aerospace Engineering,Operations Research,Colonel,US Army,3,3720,4,25.0,"STS-126 (Endeavor), ISS-49/50 (Soyuz)",,
Roger B. Chaffee,1963,3,Deceased,1935-02-15,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,Operations Research,Lieutenant Commander,US Navy,1,0,0,0.0,Apollo 1,1967-01-27,Apollo 1
Roger K. Crouch,1963,3,Retired,1940-09-12,"Jamestown, TN",Male,Tennessee Polytechnic Institute; Virginia Polytechnic Institute,Physics,Physics,Lieutenant Commander,US Navy,1,471,0,0.0,"STS-83 (Columbia), STS-94 (Columbia)",,
Ronald A. Parise,1963,3,Deceased,1951-05-24,"Warren, OH",Male,Youngstown State University; University of Florida,Physics,Astronomy,Lieutenant Commander,US Navy,2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",2008-05-09,Natural causes
Ronald E. Evans Jr.,1966,5,Deceased,1933-11-10,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1.0,Apollo 17,1990-04-06,Due to heart attack
Ronald E. McNair,1978,8,Deceased,1950-10-21,"Lake City, SC",Male,North Carolina A&T State College; MIT,Physics,Physics,Captain,US Navy (Retired),2,191,0,0.0,"STS 41-B (Challenger), STS 51-L (Challenger)",1986-01-28,STS 51-L (Challenger)
Ronald J. Garan Jr.,2000,18,Management,1961-10-20,"Yonkers, NY",Male,State University of New York; Embry-Riddle Aeronautical University; University of Florida,Business Economics,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),2,4271,4,27.0,"STS-124 (Discovery), ISS-27/28 (Soyuz)",,
Ronald J. Grabe,1980,9,Retired,1945-06-13,"New York, NY",Male,US Air Force Academy,Engineering Science,Aeronautics; Aerospace Engineering,Colonel,US Air Force (Retired),4,627,0,0.0,"STS 51-J (Atlantis), STS-30 (Atlantis), STS-42 (Discovery), STS-57 (Endeavor)",,
Ronald M. Sega,1990,13,Retired,1952-12-04,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0.0,"STS-60 (Discovery), STS-76 (Atlantis)",,
Roy D. Bridges Jr.,1980,9,Retired,1943-07-19,"Atlanta, GA",Male,US Air Force Academy; Purdue University,Engineering Science,Astronautics,Major General,US Air Force (Retired),1,190,0,0.0,STS 51-F (Challenger),,
Russell L. Schweickart,1963,3,Retired,1935-10-25,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,Major General,US Air Force (Retired),1,241,1,1.0,Apollo 9,,
S. Christa McAuliffe,1963,3,Deceased,1948-09-02,"Boston, MA",Female,Framingham State College; Bowie State College,Education,Education,Major General,US Air Force (Retired),1,0,0,0.0,STS 51-L (Challenger),1986-01-28,STS 51-L (Challenger)
S. David Griggs,1978,8,Deceased,1939-09-07,"Portland, OR",Male,US Naval Academy; George Washington University,Education,Business Administration,Major General,US Air Force (Retired),1,167,1,3.0,STS 51-D (Discovery),1989-06-17,car accident
Sally K. Ride,1978,8,Deceased,1951-05-26,"Los Angeles, CA",Female,Stanford University,Physics; English,Physics,Major General,US Air Force (Retired),2,343,0,0.0,"STS-7 (Challenger), STS 41-G (Challenger)",2012-07-23,Pancreatic cancer
Samuel T. Durrance,1978,8,Retired,1943-09-17,"Tallahassee, FL",Male,California State University; University of Colorado,Physics,Physics; Astrogeophysics,Major General,US Air Force (Retired),2,614,0,0.0,"STS-35 (Columbia), STS-67 (Endeavor)",,
Sandra H. Magnus,1996,16,Retired,1964-10-30,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,Major General,US Air Force (Retired),3,3776,0,0.0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
Scott D. Altman,1995,15,Retired,1959-08-15,"Lincoln, IL",Male,University of Illinois; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1236,0,0.0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
Scott D. Tingle,2009,20,Active,1965-07-19,"Attleboro, MA",Male,Southeastern Massachusetts University; Purdue University,Mechanical Engineering,Mechanical Engineering,Commander,US Navy,0,0,0,0.0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
Scott E. Parazynski,1992,14,Retired,1961-07-28,"Little Rock, AR",Male,Stanford University,Biology,Medicine,Commander,US Navy,5,1404,7,47.0,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
Scott J. Horowitz,1992,14,Retired,1957-03-24,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0.0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
Scott J. Kelly,1996,16,Active,1964-02-21,"Orange, NJ",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18.0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
Serena M. Aunon,2009,20,Active,1976-04-09,"Indianapolis, IN",Female,George Washington University; University of Texas,Electrical Engineering,Medicine,Captain,US Navy (Retired),0,0,0,0.0,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
Shannon W. Lucid,1978,8,Retired,1943-01-14,"Shanghai, China",Female,University of Oklahoma,Chemistry,Biochemistry,Captain,US Navy (Retired),5,5354,0,0.0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)",,
Shannon Walker,2004,19,Active,1965-06-04,"Houston, TX",Female,Rice University,Space Physics,Space Physics,Captain,US Navy (Retired),1,3919,0,0.0,ISS-24/25 (Soyuz),,
Sherwood C. Spring,1980,9,Retired,1944-09-23,"Hartford, CT",Male,US Military Academy; University of Arizona,Engineering,Aerospace Engineering,Colonel,US Army (Retired),1,165,2,12.0,STS 61-B (Atlantis),,
Sidney M. Gutierrez,1984,10,Retired,1951-06-27,"Albuquerque, NM",Male,US Air Force Academy; Webster College,Aeronautical Engineering,Business Management,Colonel,US Air Force (Retired),2,488,0,0.0,"STS-40 (Columbia), STS-59 (Endeavor)",,
Stanley G. Love,1998,17,Management,1965-06-08,"San Diego, CA",Male,Harvey Mudd College; University of Washington,Physics,Astronomy,Colonel,US Air Force (Retired),1,306,2,15.0,STS-122 (Atlantis),,
Stephanie D. Wilson,1996,16,Active,1966-09-27,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,Colonel,US Air Force (Retired),3,1031,0,0.0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
Stephen G. Bowen,2000,18,Active,1964-02-13,"Cohasset, MA",Male,US Naval Academy; MIT,Electrical Engineering,Ocean Engineering,Captain,US Navy,3,970,7,47.0,"STS-126 (Endeavor), STS-132 (Atlantis), STS-133 (Discovery)",,
Stephen K. Robinson,1995,15,Retired,1955-10-26,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,Captain,US Navy,4,1162,3,20.0,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
Stephen N. Frick,1996,16,Management,1961-09-30,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0.0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
Stephen S. Oswald,1985,11,Retired,1951-06-30,"Seattle, WA",Male,US Naval Academy,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,814,0,0.0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)",,
Steven A. Hawley,1978,8,Retired,1951-12-12,"Ottawa, KS",Male,University of Kansas; University of California,Physics & Astronomy,Astronomy & Astrophysics,Captain,US Navy (Retired),5,770,0,0.0,"STS 41-D (Discovery), STS 61-C (Columbia), STS-31 (Discovery), STS-82 (Discovery), STS-93 (Columbia)",,
Steven L. Smith,1992,14,Management,1958-12-30,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,Captain,US Navy (Retired),4,960,7,49.0,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
Steven R. Nagel,1978,8,Retired,1946-10-27,"Canton, IL",Male,University of Illinois; California State University-Fresno,Aerospace Engineering,Mechanical  Engineering,Colonel,US Air Force (Retired),4,721,0,0.0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)",,
Steven R. Swanson,1998,17,Active,1960-12-03,"Syracuse, NY",Male,University of Colorado; Florida Atlantic University; Texas A&M University,Engineering Physics,Computer Systems; Computer Science,Colonel,US Air Force (Retired),3,4700,5,28.0,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)",,
Steven W. Lindsey,1995,15,Retired,1960-08-24,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0.0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
